"time", "pool", "value"
0.000000000000000000e+00,0.000000000000000000e+00,3.678794411714423340e-01
0.000000000000000000e+00,1.000000000000000000e+00,1.103638323514327002e+00
0.000000000000000000e+00,-1.000000000000000000e+00,1.471517764685769336e+00
1.000000000000000000e+00,0.000000000000000000e+00,1.164992085539676703e+00
1.000000000000000000e+00,1.000000000000000000e+00,2.107658452084380407e+00
1.000000000000000000e+00,-1.000000000000000000e+00,3.291286866555436674e+00
2.000000000000000000e+00,0.000000000000000000e+00,1.943857014590526733e+00
2.000000000000000000e+00,1.000000000000000000e+00,2.677303256153419575e+00
2.000000000000000000e+00,-1.000000000000000000e+00,4.613530439981692766e+00
3.000000000000000000e+00,0.000000000000000000e+00,1.967854375873314243e+00
3.000000000000000000e+00,1.000000000000000000e+00,2.641857834495355384e+00
3.000000000000000000e+00,-1.000000000000000000e+00,4.602827632198349228e+00
4.000000000000000000e+00,0.000000000000000000e+00,1.975586244676556191e+00
4.000000000000000000e+00,1.000000000000000000e+00,2.610502667459950743e+00
4.000000000000000000e+00,-1.000000000000000000e+00,4.579234312377069571e+00
5.000000000000000000e+00,0.000000000000000000e+00,1.970918892608823247e+00
5.000000000000000000e+00,1.000000000000000000e+00,2.581688375407481750e+00
5.000000000000000000e+00,-1.000000000000000000e+00,4.545758464590378800e+00
6.000000000000000000e+00,0.000000000000000000e+00,1.955650821574441478e+00
6.000000000000000000e+00,1.000000000000000000e+00,2.553188290348548328e+00
6.000000000000000000e+00,-1.000000000000000000e+00,4.502322056522849003e+00
7.000000000000000000e+00,0.000000000000000000e+00,1.930863248721090830e+00
7.000000000000000000e+00,1.000000000000000000e+00,2.522906264880536042e+00
7.000000000000000000e+00,-1.000000000000000000e+00,4.447982750332855950e+00
8.000000000000000000e+00,0.000000000000000000e+00,1.897431401228720560e+00
8.000000000000000000e+00,1.000000000000000000e+00,2.489092600078397499e+00
8.000000000000000000e+00,-1.000000000000000000e+00,4.381769405073224988e+00
9.000000000000000000e+00,0.000000000000000000e+00,1.856240496439693466e+00
9.000000000000000000e+00,1.000000000000000000e+00,2.450406515363520388e+00
9.000000000000000000e+00,-1.000000000000000000e+00,4.303060585354488765e+00
1.000000000000000000e+01,0.000000000000000000e+00,1.808265480824924332e+00
1.000000000000000000e+01,1.000000000000000000e+00,2.405931979700593359e+00
1.000000000000000000e+01,-1.000000000000000000e+00,4.211754295766986012e+00
1.100000000000000000e+01,0.000000000000000000e+00,1.754581071805714210e+00
1.100000000000000000e+01,1.000000000000000000e+00,2.355172109149997972e+00
1.100000000000000000e+01,-1.000000000000000000e+00,4.108316011999626483e+00
1.200000000000000000e+01,0.000000000000000000e+00,1.696336097394919529e+00
1.200000000000000000e+01,1.000000000000000000e+00,2.298026388075654847e+00
1.200000000000000000e+01,-1.000000000000000000e+00,3.993745430053669665e+00
1.300000000000000000e+01,0.000000000000000000e+00,1.634712655334186637e+00
1.300000000000000000e+01,1.000000000000000000e+00,2.234751433658485276e+00
1.300000000000000000e+01,-1.000000000000000000e+00,3.869488102086740877e+00
1.400000000000000000e+01,0.000000000000000000e+00,1.570881359202538130e+00
1.400000000000000000e+01,1.000000000000000000e+00,2.165907135288545504e+00
1.400000000000000000e+01,-1.000000000000000000e+00,3.737313011159635323e+00
1.500000000000000000e+01,0.000000000000000000e+00,1.505957292728666852e+00
1.500000000000000000e+01,1.000000000000000000e+00,2.092292511401264044e+00
1.500000000000000000e+01,-1.000000000000000000e+00,3.599174813052920641e+00
1.600000000000000000e+01,0.000000000000000000e+00,1.440957473324016025e+00
1.600000000000000000e+01,1.000000000000000000e+00,2.014877256037397313e+00
