"time", "pool", "value"
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,1.050055699708918988e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.204956961077979338e+00
1.000000000000000000e+00,-1.000000000000000000e+00,1.146844648263645627e+00
2.000000000000000000e+00,0.000000000000000000e+00,1.433737363053393832e+00
2.000000000000000000e+00,1.000000000000000000e+00,1.562498205221199532e+00
2.000000000000000000e+00,-1.000000000000000000e+00,1.509690041677480776e+00
3.000000000000000000e+00,0.000000000000000000e+00,1.833136706629774348e+00
3.000000000000000000e+00,1.000000000000000000e+00,1.959014377492979353e+00
3.000000000000000000e+00,-1.000000000000000000e+00,1.905414326668022795e+00
4.000000000000000000e+00,0.000000000000000000e+00,2.226326629659389766e+00
4.000000000000000000e+00,1.000000000000000000e+00,2.366315752006967088e+00
4.000000000000000000e+00,-1.000000000000000000e+00,2.305562959218065089e+00
5.000000000000000000e+00,0.000000000000000000e+00,2.612876863688708973e+00
5.000000000000000000e+00,1.000000000000000000e+00,2.774065915330347298e+00
5.000000000000000000e+00,-1.000000000000000000e+00,2.703429548621517409e+00
6.000000000000000000e+00,0.000000000000000000e+00,2.996214285540179212e+00
6.000000000000000000e+00,1.000000000000000000e+00,3.178070530406528427e+00
6.000000000000000000e+00,-1.000000000000000000e+00,3.098056827641856081e+00
7.000000000000000000e+00,0.000000000000000000e+00,3.380465434580265605e+00
7.000000000000000000e+00,1.000000000000000000e+00,3.576857256134991392e+00
7.000000000000000000e+00,-1.000000000000000000e+00,3.490445760856409674e+00
8.000000000000000000e+00,0.000000000000000000e+00,3.769625542563491472e+00
8.000000000000000000e+00,1.000000000000000000e+00,3.970313980010779176e+00
8.000000000000000000e+00,-1.000000000000000000e+00,3.882275233767984002e+00
9.000000000000000000e+00,0.000000000000000000e+00,4.167247296570725013e+00
9.000000000000000000e+00,1.000000000000000000e+00,4.359013977355074232e+00
9.000000000000000000e+00,-1.000000000000000000e+00,4.275338515202606438e+00
1.000000000000000000e+01,0.000000000000000000e+00,4.576241313413812684e+00
1.000000000000000000e+01,1.000000000000000000e+00,4.743821788080789581e+00
1.000000000000000000e+01,-1.000000000000000000e+00,4.671227312080460159e+00
1.100000000000000000e+01,0.000000000000000000e+00,4.998669249817623061e+00
1.100000000000000000e+01,1.000000000000000000e+00,5.125631245430000149e+00
1.100000000000000000e+01,-1.000000000000000000e+00,5.071109079508381967e+00
1.200000000000000000e+01,0.000000000000000000e+00,5.435490444782844932e+00
1.200000000000000000e+01,1.000000000000000000e+00,5.505172671686441532e+00
1.200000000000000000e+01,-1.000000000000000000e+00,5.475539484477693009e+00
1.300000000000000000e+01,0.000000000000000000e+00,5.886255536484831907e+00
1.300000000000000000e+01,1.000000000000000000e+00,5.882859227483206332e+00
1.300000000000000000e+01,-1.000000000000000000e+00,5.884288569016251635e+00
1.400000000000000000e+01,0.000000000000000000e+00,6.348766546115346188e+00
1.400000000000000000e+01,1.000000000000000000e+00,6.258658669999942248e+00
1.400000000000000000e+01,-1.000000000000000000e+00,6.296179157332191245e+00
1.500000000000000000e+01,0.000000000000000000e+00,6.818753436125213341e+00
1.500000000000000000e+01,1.000000000000000000e+00,6.631986583637836219e+00
1.500000000000000000e+01,-1.000000000000000000e+00,6.708950986093123348e+00
1.600000000000000000e+01,0.000000000000000000e+00,7.289653084644456271e+00
1.600000000000000000e+01,1.000000000000000000e+00,7.001624790182232161e+00
1.600000000000000000e+01,-1.000000000000000000e+00,7.119177444136721711e+00
1.700000000000000000e+01,0.000000000000000000e+00,7.752609922638866280e+00
1.700000000000000000e+01,1.000000000000000000e+00,7.365675201490726742e+00
1.700000000000000000e+01,-1.000000000000000000e+00,7.522272817115958965e+00
1.800000000000000000e+01,0.000000000000000000e+00,8.196830058009380693e+00
1.800000000000000000e+01,1.000000000000000000e+00,7.721564562956110045e+00
1.800000000000000000e+01,-1.000000000000000000e+00,7.912632803126590453e+00
1.900000000000000000e+01,0.000000000000000000e+00,8.610388969071147258e+00
1.900000000000000000e+01,1.000000000000000000e+00,8.066118122997673723e+00
1.900000000000000000e+01,-1.000000000000000000e+00,8.283944761799810763e+00
2.000000000000000000e+01,0.000000000000000000e+00,8.981496452925604501e+00
2.000000000000000000e+01,1.000000000000000000e+00,8.395718356004360672e+00
2.000000000000000000e+01,-1.000000000000000000e+00,8.629681056345537726e+00
2.100000000000000000e+01,0.000000000000000000e+00,9.300071607830075138e+00
2.100000000000000000e+01,1.000000000000000000e+00,8.706556194460997489e+00
2.100000000000000000e+01,-1.000000000000000000e+00,8.943748934944762752e+00
2.200000000000000000e+01,0.000000000000000000e+00,9.559322513043941427e+00
2.200000000000000000e+01,1.000000000000000000e+00,8.994966859370345347e+00
2.200000000000000000e+01,-1.000000000000000000e+00,9.221220331924467217e+00
2.300000000000000000e+01,0.000000000000000000e+00,9.756942207376324561e+00
2.300000000000000000e+01,1.000000000000000000e+00,9.257821313375867334e+00
2.300000000000000000e+01,-1.000000000000000000e+00,9.459020831150786179e+00
2.400000000000000000e+01,0.000000000000000000e+00,9.895592228676445501e+00
2.400000000000000000e+01,1.000000000000000000e+00,9.492923018810904168e+00
2.400000000000000000e+01,-1.000000000000000000e+00,9.656439620837364401e+00
2.500000000000000000e+01,0.000000000000000000e+00,9.982545529537132367e+00
2.500000000000000000e+01,1.000000000000000000e+00,9.699345695407535217e+00
2.500000000000000000e+01,-1.000000000000000000e+00,9.815346140540947673e+00
2.600000000000000000e+01,0.000000000000000000e+00,1.002861675366980165e+01
2.600000000000000000e+01,1.000000000000000000e+00,9.877648071470220614e+00
2.600000000000000000e+01,-1.000000000000000000e+00,9.940062363636526399e+00
2.700000000000000000e+01,0.000000000000000000e+00,1.004669735785713769e+01
2.700000000000000000e+01,1.000000000000000000e+00,1.002992033469239885e+01
2.700000000000000000e+01,-1.000000000000000000e+00,1.003692093570519894e+01
2.800000000000000000e+01,0.000000000000000000e+00,1.005026577516059128e+01
2.800000000000000000e+01,1.000000000000000000e+00,1.015964901108579177e+01
2.800000000000000000e+01,-1.000000000000000000e+00,1.011360981165877426e+01
2.900000000000000000e+01,0.000000000000000000e+00,1.005215856187918000e+01
2.900000000000000000e+01,1.000000000000000000e+00,1.027142472107268745e+01
2.900000000000000000e+01,-1.000000000000000000e+00,1.017843765317348748e+01
3.000000000000000000e+01,0.000000000000000000e+00,1.006374039595990233e+01
3.000000000000000000e+01,1.000000000000000000e+00,1.037054655730480768e+01
3.000000000000000000e+01,-1.000000000000000000e+00,1.023964550245510274e+01
3.100000000000000000e+01,0.000000000000000000e+00,1.009447190846256959e+01
3.100000000000000000e+01,1.000000000000000000e+00,1.046258983841790347e+01
3.100000000000000000e+01,-1.000000000000000000e+00,1.030485064681494300e+01
3.200000000000000000e+01,0.000000000000000000e+00,1.015178601791560631e+01
3.200000000000000000e+01,1.000000000000000000e+00,1.055299907395381176e+01
3.200000000000000000e+01,-1.000000000000000000e+00,1.038065796995048906e+01
3.300000000000000000e+01,0.000000000000000000e+00,1.024115193199885532e+01
3.300000000000000000e+01,1.000000000000000000e+00,1.064674948616227113e+01
3.300000000000000000e+01,-1.000000000000000000e+00,1.047243050966929268e+01
3.400000000000000000e+01,0.000000000000000000e+00,1.036621343882125856e+01
3.400000000000000000e+01,1.000000000000000000e+00,1.074809690424082831e+01
3.400000000000000000e+01,-1.000000000000000000e+00,1.058418348813799170e+01
3.500000000000000000e+01,0.000000000000000000e+00,1.052891551949161197e+01
3.500000000000000000e+01,1.000000000000000000e+00,1.086041498811753314e+01
3.500000000000000000e+01,-1.000000000000000000e+00,1.071855642451975221e+01
3.600000000000000000e+01,0.000000000000000000e+00,1.072956368126933313e+01
3.600000000000000000e+01,1.000000000000000000e+00,1.098610422374513185e+01
3.600000000000000000e+01,-1.000000000000000000e+00,1.087682049605131596e+01
3.700000000000000000e+01,0.000000000000000000e+00,1.096679019165031121e+01
3.700000000000000000e+01,1.000000000000000000e+00,1.112655133730232215e+01
3.700000000000000000e+01,-1.000000000000000000e+00,1.105888978130766098e+01
3.800000000000000000e+01,0.000000000000000000e+00,1.123742638958601248e+01
3.800000000000000000e+01,1.000000000000000000e+00,1.128211911668999967e+01
3.800000000000000000e+01,-1.000000000000000000e+00,1.126331934585801342e+01
3.900000000000000000e+01,0.000000000000000000e+00,1.153631059352445298e+01
3.900000000000000000e+01,1.000000000000000000e+00,1.145215030118874466e+01
3.900000000000000000e+01,-1.000000000000000000e+00,1.148728946166855280e+01
4.000000000000000000e+01,0.000000000000000000e+00,1.185608451461149926e+01
4.000000000000000000e+01,1.000000000000000000e+00,1.163498099399320296e+01
4.000000000000000000e+01,-1.000000000000000000e+00,1.172659062060044199e+01
4.100000000000000000e+01,0.000000000000000000e+00,1.218707096887457730e+01
4.100000000000000000e+01,1.000000000000000000e+00,1.182796355462748927e+01
4.100000000000000000e+01,-1.000000000000000000e+00,1.197563936373132520e+01
4.200000000000000000e+01,0.000000000000000000e+00,1.251734937624232735e+01
4.200000000000000000e+01,1.000000000000000000e+00,1.202751174855548300e+01
4.200000000000000000e+01,-1.000000000000000000e+00,1.222756708939109060e+01
4.300000000000000000e+01,0.000000000000000000e+00,1.283316045902689240e+01
4.300000000000000000e+01,1.000000000000000000e+00,1.222918518633082563e+01
4.300000000000000000e+01,-1.000000000000000000e+00,1.247442946346319204e+01
4.400000000000000000e+01,0.000000000000000000e+00,1.311974636353301804e+01
4.400000000000000000e+01,1.000000000000000000e+00,1.242783564832712706e+01
4.400000000000000000e+01,-1.000000000000000000e+00,1.270757992601335928e+01
4.500000000000000000e+01,0.000000000000000000e+00,1.336265028682049838e+01
4.500000000000000000e+01,1.000000000000000000e+00,1.261783599586976479e+01
4.500000000000000000e+01,-1.000000000000000000e+00,1.291822890245164501e+01
4.600000000000000000e+01,0.000000000000000000e+00,1.354936301210607219e+01
4.600000000000000000e+01,1.000000000000000000e+00,1.279340392983788455e+01
4.600000000000000000e+01,-1.000000000000000000e+00,1.309817150646673589e+01
4.700000000000000000e+01,0.000000000000000000e+00,1.367104478635986808e+01
4.700000000000000000e+01,1.000000000000000000e+00,1.294901630631412282e+01
4.700000000000000000e+01,-1.000000000000000000e+00,1.324061453943629196e+01
4.800000000000000000e+01,0.000000000000000000e+00,1.372393691301702390e+01
4.800000000000000000e+01,1.000000000000000000e+00,1.307988644348552931e+01
4.800000000000000000e+01,-1.000000000000000000e+00,1.334098181311852649e+01
4.900000000000000000e+01,0.000000000000000000e+00,1.371008700683487547e+01
4.900000000000000000e+01,1.000000000000000000e+00,1.318245125665666606e+01
4.900000000000000000e+01,-1.000000000000000000e+00,1.339754747149480529e+01
5.000000000000000000e+01,0.000000000000000000e+00,1.363716931480979788e+01
5.000000000000000000e+01,1.000000000000000000e+00,1.325479574938206895e+01
5.000000000000000000e+01,-1.000000000000000000e+00,1.341175753113929225e+01
5.100000000000000000e+01,0.000000000000000000e+00,1.351743868006775173e+01
5.100000000000000000e+01,1.000000000000000000e+00,1.329693767373643887e+01
5.100000000000000000e+01,-1.000000000000000000e+00,1.338815676760992446e+01
5.200000000000000000e+01,0.000000000000000000e+00,1.336609861799521326e+01
5.200000000000000000e+01,1.000000000000000000e+00,1.331091154500424523e+01
5.200000000000000000e+01,-1.000000000000000000e+00,1.333392582364854384e+01
5.300000000000000000e+01,0.000000000000000000e+00,1.319948863588009758e+01
5.300000000000000000e+01,1.000000000000000000e+00,1.330062591805290140e+01
5.300000000000000000e+01,-1.000000000000000000e+00,1.325812175478803567e+01
5.400000000000000000e+01,0.000000000000000000e+00,1.303346569932900678e+01
5.400000000000000000e+01,1.000000000000000000e+00,1.327151289519678379e+01
5.400000000000000000e+01,-1.000000000000000000e+00,1.317077230012396427e+01
5.500000000000000000e+01,0.000000000000000000e+00,1.288221481246794475e+01
5.500000000000000000e+01,1.000000000000000000e+00,1.323002917827608194e+01
5.500000000000000000e+01,-1.000000000000000000e+00,1.308198313539981861e+01
5.600000000000000000e+01,0.000000000000000000e+00,1.275755512205908992e+01
5.600000000000000000e+01,1.000000000000000000e+00,1.318309121912655968e+01
5.600000000000000000e+01,-1.000000000000000000e+00,1.300118305850283917e+01
5.700000000000000000e+01,0.000000000000000000e+00,1.266867603920980123e+01
5.700000000000000000e+01,1.000000000000000000e+00,1.313752767203490812e+01
5.700000000000000000e+01,-1.000000000000000000e+00,1.293657410356615500e+01
5.800000000000000000e+01,0.000000000000000000e+00,1.262216982394130582e+01
5.800000000000000000e+01,1.000000000000000000e+00,1.309961360570621913e+01
5.800000000000000000e+01,-1.000000000000000000e+00,1.289479532628244129e+01
5.900000000000000000e+01,0.000000000000000000e+00,1.262221637661484763e+01
5.900000000000000000e+01,1.000000000000000000e+00,1.307472163762049533e+01
5.900000000000000000e+01,-1.000000000000000000e+00,1.288076667067169367e+01
6.000000000000000000e+01,0.000000000000000000e+00,1.267079947026769560e+01
6.000000000000000000e+01,1.000000000000000000e+00,1.306709599529049370e+01
6.000000000000000000e+01,-1.000000000000000000e+00,1.289765832282015090e+01
6.100000000000000000e+01,0.000000000000000000e+00,1.276787114324160299e+01
6.100000000000000000e+01,1.000000000000000000e+00,1.307973361107925747e+01
6.100000000000000000e+01,-1.000000000000000000e+00,1.294692889497342492e+01
6.200000000000000000e+01,0.000000000000000000e+00,1.291141946217044989e+01
6.200000000000000000e+01,1.000000000000000000e+00,1.311434515218676644e+01
6.200000000000000000e+01,-1.000000000000000000e+00,1.302838658472306399e+01
6.300000000000000000e+01,0.000000000000000000e+00,1.309742954189490760e+01
6.300000000000000000e+01,1.000000000000000000e+00,1.317136642691654025e+01
6.300000000000000000e+01,-1.000000000000000000e+00,1.314024403426392062e+01
6.400000000000000000e+01,0.000000000000000000e+00,1.331976103266549849e+01
6.400000000000000000e+01,1.000000000000000000e+00,1.324999717613139971e+01
6.400000000000000000e+01,-1.000000000000000000e+00,1.327915795907942886e+01
6.500000000000000000e+01,0.000000000000000000e+00,1.356999794942324300e+01
6.500000000000000000e+01,1.000000000000000000e+00,1.334825286042178760e+01
6.500000000000000000e+01,-1.000000000000000000e+00,1.344026317529681336e+01
6.600000000000000000e+01,0.000000000000000000e+00,1.383736141764131844e+01
6.600000000000000000e+01,1.000000000000000000e+00,1.346302650920715038e+01
6.600000000000000000e+01,-1.000000000000000000e+00,1.361722874008202311e+01
6.700000000000000000e+01,0.000000000000000000e+00,1.410880509792909088e+01
6.700000000000000000e+01,1.000000000000000000e+00,1.359016896151749165e+01
6.700000000000000000e+01,-1.000000000000000000e+00,1.380237789541981996e+01
6.800000000000000000e+01,0.000000000000000000e+00,1.436942925158162510e+01
6.800000000000000000e+01,1.000000000000000000e+00,1.372460347420893001e+01
6.800000000000000000e+01,-1.000000000000000000e+00,1.398692128998416351e+01
6.900000000000000000e+01,0.000000000000000000e+00,1.460332511212541817e+01
6.900000000000000000e+01,1.000000000000000000e+00,1.386049775934391270e+01
6.900000000000000000e+01,-1.000000000000000000e+00,1.416134932714529171e+01
7.000000000000000000e+01,0.000000000000000000e+00,1.479488700113113531e+01
7.000000000000000000e+01,1.000000000000000000e+00,1.399151537222777009e+01
7.000000000000000000e+01,-1.000000000000000000e+00,1.431601014236676406e+01
7.100000000000000000e+01,0.000000000000000000e+00,1.493049112583570626e+01
7.100000000000000000e+01,1.000000000000000000e+00,1.411116010562629697e+01
7.100000000000000000e+01,-1.000000000000000000e+00,1.444185943413727991e+01
7.200000000000000000e+01,0.000000000000000000e+00,1.500028351140650962e+01
7.200000000000000000e+01,1.000000000000000000e+00,1.421321215047416509e+01
7.200000000000000000e+01,-1.000000000000000000e+00,1.453131900661200682e+01
7.300000000000000000e+01,0.000000000000000000e+00,1.499968780787142109e+01
7.300000000000000000e+01,1.000000000000000000e+00,1.429223005244017486e+01
7.300000000000000000e+01,-1.000000000000000000e+00,1.457912355361717793e+01
7.400000000000000000e+01,0.000000000000000000e+00,1.493023765577949824e+01
7.400000000000000000e+01,1.000000000000000000e+00,1.434406619167740971e+01
7.400000000000000000e+01,-1.000000000000000000e+00,1.458300247450020315e+01
7.500000000000000000e+01,0.000000000000000000e+00,1.479948072087560007e+01
7.500000000000000000e+01,1.000000000000000000e+00,1.436632199608084548e+01
7.500000000000000000e+01,-1.000000000000000000e+00,1.454404827276199619e+01
7.600000000000000000e+01,0.000000000000000000e+00,1.461995820162983328e+01
7.600000000000000000e+01,1.000000000000000000e+00,1.435866216501069381e+01
7.600000000000000000e+01,-1.000000000000000000e+00,1.446667629436049651e+01
7.700000000000000000e+01,0.000000000000000000e+00,1.440752439472260527e+01
7.700000000000000000e+01,1.000000000000000000e+00,1.432292120393292301e+01
7.700000000000000000e+01,-1.000000000000000000e+00,1.435816929004123210e+01
7.800000000000000000e+01,0.000000000000000000e+00,1.417942209714806978e+01
7.800000000000000000e+01,1.000000000000000000e+00,1.426297051899639357e+01
7.800000000000000000e+01,-1.000000000000000000e+00,1.422789467443220168e+01
7.900000000000000000e+01,0.000000000000000000e+00,1.395252004445484495e+01
7.900000000000000000e+01,1.000000000000000000e+00,1.418436058785754739e+01
7.900000000000000000e+01,-1.000000000000000000e+00,1.408634751213532432e+01
8.000000000000000000e+01,0.000000000000000000e+00,1.374198536932089887e+01
8.000000000000000000e+01,1.000000000000000000e+00,1.409379732373324501e+01
8.000000000000000000e+01,-1.000000000000000000e+00,1.394418970274315406e+01
