"time", "value"
0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.050055699708918988e+00
2.000000000000000000e+00,1.433737363053393832e+00
3.000000000000000000e+00,1.833136706629774570e+00
4.000000000000000000e+00,2.226326629659389766e+00
5.000000000000000000e+00,2.612876863688708973e+00
6.000000000000000000e+00,2.996214285540179212e+00
7.000000000000000000e+00,3.380465434580265605e+00
8.000000000000000000e+00,3.769625542563491472e+00
9.000000000000000000e+00,4.167247296570725013e+00
1.000000000000000000e+01,4.576241313413812684e+00
