Lat	GREENUP	GREENUP	GREENUP	GREENUP	GREENUP	GREENUP	GREENUP	GREENUP	FALL	FALL	FALL	FALL	FALL	FALL	FALL	FALL	PHENDOY1	PHENDOY1	PHENDOY1	PHENDOY1	PHENDOY1	PHENDOY1	PHENDOY1	PHENDOY1
	3	4	5	6	7	8	9	10	3	4	5	6	7	8	9	10	3	4	5	6	7	8	9	10
79.75	167	156	184	184	184	184	145	145	231	231	229	229	229	229	230	230	0	0	0	0	0	0	0	0
79.25	167	156	184	184	184	184	145	145	231	231	229	229	229	229	230	230	0	0	0	0	0	0	0	0
78.75	167	156	184	184	184	184	145	145	231	231	229	229	229	229	230	230	0	0	0	0	0	0	0	0
78.25	167	156	184	184	184	184	145	145	231	231	229	229	229	229	230	230	0	0	0	0	0	0	0	0
77.75	167	156	184	184	184	184	145	145	231	231	229	229	229	229	230	230	0	0	0	0	0	0	0	0
77.25	167	156	184	184	184	184	145	145	231	231	229	229	229	229	230	230	0	0	0	0	0	0	0	0
76.75	167	156	184	184	184	184	145	145	231	231	229	230	230	230	230	230	0	0	0	0	0	0	0	0
76.25	167	156	184	184	184	184	145	145	231	231	230	230	230	230	230	230	0	0	0	0	0	0	0	0
75.75	167	156	184	184	184	184	145	145	231	231	230	231	231	231	230	230	0	0	0	0	0	0	0	0
75.25	167	156	185	185	185	185	145	145	231	231	231	232	232	232	230	230	0	0	0	0	0	0	0	0
74.75	167	156	185	185	185	185	145	145	231	231	231	232	232	232	230	230	0	0	0	0	0	0	0	0
74.25	167	156	185	184	184	184	145	145	231	231	232	232	232	232	230	230	0	0	0	0	0	0	0	0
73.75	167	156	185	184	184	184	145	145	231	231	233	233	233	233	230	230	0	0	0	0	0	0	0	0
73.25	167	156	186	183	183	183	145	145	231	231	232	233	233	233	230	230	0	0	0	0	0	0	0	0
72.75	167	156	186	184	184	184	145	145	231	231	233	234	234	234	230	230	0	0	0	0	0	0	0	0
72.25	167	156	186	183	183	183	145	145	231	231	234	234	234	234	230	230	0	0	0	0	0	0	0	0
71.75	167	156	185	183	183	183	145	145	231	231	234	234	234	234	230	230	0	0	0	0	0	0	0	0
71.25	167	156	184	182	182	182	145	145	231	231	234	234	234	234	230	230	0	0	0	0	0	0	0	0
70.75	167	156	183	181	181	181	145	145	231	231	234	233	233	233	230	230	0	0	0	0	0	0	0	0
70.25	167	156	182	180	180	180	145	145	231	231	234	234	234	234	230	230	0	0	0	0	0	0	0	0
69.75	167	156	181	178	178	178	145	145	231	231	234	234	234	234	230	230	0	0	0	0	0	0	0	0
69.25	167	156	179	177	177	177	145	145	231	231	234	234	234	234	230	230	0	0	0	0	0	0	0	0
68.75	167	156	177	176	176	176	145	145	231	231	234	233	233	233	230	230	0	0	0	0	0	0	0	0
