"age", "time", "value"
0.000000000000000000e+00,0.000000000000000000e+00,1.666666666666669905e-01
0.000000000000000000e+00,1.000000000000000000e+00,3.745673265424211973e-01
0.000000000000000000e+00,2.000000000000000000e+00,4.132375897673679632e-01
0.000000000000000000e+00,3.000000000000000000e+00,4.469397933372232234e-01
0.000000000000000000e+00,4.000000000000000000e+00,4.735784974679836945e-01
0.000000000000000000e+00,5.000000000000000000e+00,4.914974365592653105e-01
0.000000000000000000e+00,6.000000000000000000e+00,4.995824977673433698e-01
0.000000000000000000e+00,7.000000000000000000e+00,4.973309911456571530e-01
0.000000000000000000e+00,8.000000000000000000e+00,4.848829044709479508e-01
0.000000000000000000e+00,9.000000000000000000e+00,4.630121994813211073e-01
0.000000000000000000e+00,1.000000000000000000e+01,4.330786906839935724e-01
1.000000000000000000e+00,0.000000000000000000e+00,6.131324019524050928e-02
1.000000000000000000e+00,1.000000000000000000e+00,2.041317875390922520e-01
1.000000000000000000e+00,2.000000000000000000e+00,3.457434814715386051e-01
1.000000000000000000e+00,3.000000000000000000e+00,3.720837522769012140e-01
1.000000000000000000e+00,4.000000000000000000e+00,3.950400383500229373e-01
1.000000000000000000e+00,5.000000000000000000e+00,4.131850167153335307e-01
1.000000000000000000e+00,6.000000000000000000e+00,4.253905178202392889e-01
1.000000000000000000e+00,7.000000000000000000e+00,4.308976740182861587e-01
1.000000000000000000e+00,8.000000000000000000e+00,4.293640589802633634e-01
1.000000000000000000e+00,9.000000000000000000e+00,4.208850279122655635e-01
1.000000000000000000e+00,1.000000000000000000e+01,4.059877802586484563e-01
2.000000000000000000e+00,0.000000000000000000e+00,2.255588053943549318e-02
2.000000000000000000e+00,1.000000000000000000e+00,7.509588689120096083e-02
2.000000000000000000e+00,2.000000000000000000e+00,2.171804518857864130e-01
2.000000000000000000e+00,3.000000000000000000e+00,3.204664637636239766e-01
2.000000000000000000e+00,4.000000000000000000e+00,3.396780305760709884e-01
2.000000000000000000e+00,5.000000000000000000e+00,3.564214396235329541e-01
2.000000000000000000e+00,6.000000000000000000e+00,3.696556766892755697e-01
2.000000000000000000e+00,7.000000000000000000e+00,3.785578801866683052e-01
2.000000000000000000e+00,8.000000000000000000e+00,3.825745821713459893e-01
2.000000000000000000e+00,9.000000000000000000e+00,3.814560242550828484e-01
2.000000000000000000e+00,1.000000000000000000e+01,3.752717517118008272e-01
3.000000000000000000e+00,0.000000000000000000e+00,8.297844727977340268e-03
3.000000000000000000e+00,1.000000000000000000e+00,2.762623468493425813e-02
3.000000000000000000e+00,2.000000000000000000e+00,7.989622113897089373e-02
3.000000000000000000e+00,3.000000000000000000e+00,2.172978275793582548e-01
3.000000000000000000e+00,4.000000000000000000e+00,2.977765111326853842e-01
3.000000000000000000e+00,5.000000000000000000e+00,3.127458302831609416e-01
3.000000000000000000e+00,6.000000000000000000e+00,3.257920063957075452e-01
3.000000000000000000e+00,7.000000000000000000e+00,3.361038940144998044e-01
3.000000000000000000e+00,8.000000000000000000e+00,3.430403403168278964e-01
