"time", "value"
0.000000000000000000e+00,6.131324019524050928e-02
1.000000000000000000e+00,1.941653475899464965e-01
2.000000000000000000e+00,3.239761690984217513e-01
3.000000000000000000e+00,3.279757293122196327e-01
4.000000000000000000e+00,3.292643741127599943e-01
5.000000000000000000e+00,3.284864821014711889e-01
6.000000000000000000e+00,3.259418035957408755e-01
7.000000000000000000e+00,3.218105414535157860e-01
8.000000000000000000e+00,3.162385668714540188e-01
9.000000000000000000e+00,3.093734160732828364e-01
1.000000000000000000e+01,3.013775801374879992e-01
